VideoID: 
Thread ID, Timestamp, API Endpoint (Subscription ID), Success?
5,2017-11-05 13:24:01:916,3a40a65192204751b51095bdfa18accc,1
2,2017-11-05 13:24:01:916,3a40a65192204751b51095bdfa18accc,1
0,2017-11-05 13:24:01:914,3a40a65192204751b51095bdfa18accc,0
4,2017-11-05 13:24:01:916,3a40a65192204751b51095bdfa18accc,1
3,2017-11-05 13:24:01:916,3a40a65192204751b51095bdfa18accc,0
3,2017-11-05 13:24:03:53,3a40a65192204751b51095bdfa18accc,0
5,2017-11-05 13:24:04:552,3a40a65192204751b51095bdfa18accc,1
1,2017-11-05 13:24:01:915,3a40a65192204751b51095bdfa18accc,0
1,2017-11-05 13:24:03:52,3a40a65192204751b51095bdfa18accc,0
0,2017-11-05 13:24:03:178,3a40a65192204751b51095bdfa18accc,0
3,2017-11-05 13:24:04:599,3a40a65192204751b51095bdfa18accc,1
1,2017-11-05 13:24:04:501,3a40a65192204751b51095bdfa18accc,1
