VideoID: 
Thread ID, Timestamp, API Endpoint (Subscription ID), Success?
0,2017-11-05 13:51:31:695,c2efe8fdff2244e6afeee461e28a6aa2,0
5,2017-11-05 13:51:31:696,c2efe8fdff2244e6afeee461e28a6aa2,1
0,2017-11-05 13:51:32:829,c2efe8fdff2244e6afeee461e28a6aa2,0
2,2017-11-05 13:51:31:695,c2efe8fdff2244e6afeee461e28a6aa2,0
5,2017-11-05 13:51:34:22,c2efe8fdff2244e6afeee461e28a6aa2,1
1,2017-11-05 13:51:31:695,c2efe8fdff2244e6afeee461e28a6aa2,0
1,2017-11-05 13:51:32:829,c2efe8fdff2244e6afeee461e28a6aa2,0
0,2017-11-05 13:51:34:286,c2efe8fdff2244e6afeee461e28a6aa2,1
4,2017-11-05 13:51:31:695,c2efe8fdff2244e6afeee461e28a6aa2,0
4,2017-11-05 13:51:32:828,c2efe8fdff2244e6afeee461e28a6aa2,0
2,2017-11-05 13:51:32:829,c2efe8fdff2244e6afeee461e28a6aa2,0
3,2017-11-05 13:51:31:695,c2efe8fdff2244e6afeee461e28a6aa2,0
1,2017-11-05 13:51:34:286,c2efe8fdff2244e6afeee461e28a6aa2,1
4,2017-11-05 13:51:34:287,c2efe8fdff2244e6afeee461e28a6aa2,1
3,2017-11-05 13:51:32:825,c2efe8fdff2244e6afeee461e28a6aa2,1
