VideoID: 
Thread ID, Timestamp, API Endpoint (Subscription ID), Success?
3,2017-11-05 13:55:00:680,01e7e1fab05d4ca8adef35d61f0fd044,0
5,2017-11-05 13:55:00:680,01e7e1fab05d4ca8adef35d61f0fd044,1
0,2017-11-05 13:55:00:679,01e7e1fab05d4ca8adef35d61f0fd044,0
3,2017-11-05 13:55:01:812,01e7e1fab05d4ca8adef35d61f0fd044,1
5,2017-11-05 13:55:02:988,01e7e1fab05d4ca8adef35d61f0fd044,1
4,2017-11-05 13:55:00:680,01e7e1fab05d4ca8adef35d61f0fd044,0
4,2017-11-05 13:55:01:812,01e7e1fab05d4ca8adef35d61f0fd044,0
0,2017-11-05 13:55:01:813,01e7e1fab05d4ca8adef35d61f0fd044,0
1,2017-11-05 13:55:00:679,01e7e1fab05d4ca8adef35d61f0fd044,0
1,2017-11-05 13:55:01:812,01e7e1fab05d4ca8adef35d61f0fd044,0
3,2017-11-05 13:55:04:50,01e7e1fab05d4ca8adef35d61f0fd044,0
2,2017-11-05 13:55:00:680,01e7e1fab05d4ca8adef35d61f0fd044,0
2,2017-11-05 13:55:01:812,01e7e1fab05d4ca8adef35d61f0fd044,0
2,2017-11-05 13:55:03:343,01e7e1fab05d4ca8adef35d61f0fd044,0
4,2017-11-05 13:55:03:245,01e7e1fab05d4ca8adef35d61f0fd044,1
1,2017-11-05 13:55:03:225,01e7e1fab05d4ca8adef35d61f0fd044,1
2,2017-11-05 13:55:04:682,01e7e1fab05d4ca8adef35d61f0fd044,1
