VideoID: 
Thread ID, Timestamp, API Endpoint (Subscription ID), Success?
1,2017-11-05 13:16:48:230,ee39b7d84ada4c26859bbb51b391386f,1
0,2017-11-05 13:16:48:229,ee39b7d84ada4c26859bbb51b391386f,1
5,2017-11-05 13:16:48:230,ee39b7d84ada4c26859bbb51b391386f,0
2,2017-11-05 13:16:48:230,ee39b7d84ada4c26859bbb51b391386f,1
4,2017-11-05 13:16:48:230,ee39b7d84ada4c26859bbb51b391386f,0
3,2017-11-05 13:16:48:230,ee39b7d84ada4c26859bbb51b391386f,1
5,2017-11-05 13:16:49:895,ee39b7d84ada4c26859bbb51b391386f,1
4,2017-11-05 13:16:49:894,ee39b7d84ada4c26859bbb51b391386f,1
