VideoID: 
Thread ID, Timestamp, API Endpoint (Subscription ID), Success?
5,2017-11-05 13:51:31:689,ee39b7d84ada4c26859bbb51b391386f,1
1,2017-11-05 13:51:31:689,ee39b7d84ada4c26859bbb51b391386f,0
5,2017-11-05 13:51:34:0,ee39b7d84ada4c26859bbb51b391386f,0
0,2017-11-05 13:51:31:688,ee39b7d84ada4c26859bbb51b391386f,0
1,2017-11-05 13:51:32:824,ee39b7d84ada4c26859bbb51b391386f,0
5,2017-11-05 13:51:35:338,ee39b7d84ada4c26859bbb51b391386f,1
3,2017-11-05 13:51:31:689,ee39b7d84ada4c26859bbb51b391386f,0
3,2017-11-05 13:51:32:822,ee39b7d84ada4c26859bbb51b391386f,1
0,2017-11-05 13:51:32:824,ee39b7d84ada4c26859bbb51b391386f,0
2,2017-11-05 13:51:31:689,ee39b7d84ada4c26859bbb51b391386f,0
2,2017-11-05 13:51:32:820,ee39b7d84ada4c26859bbb51b391386f,0
1,2017-11-05 13:51:34:227,ee39b7d84ada4c26859bbb51b391386f,1
4,2017-11-05 13:51:31:689,ee39b7d84ada4c26859bbb51b391386f,0
4,2017-11-05 13:51:32:820,ee39b7d84ada4c26859bbb51b391386f,0
3,2017-11-05 13:51:34:955,ee39b7d84ada4c26859bbb51b391386f,0
2,2017-11-05 13:51:34:227,ee39b7d84ada4c26859bbb51b391386f,1
4,2017-11-05 13:51:34:227,ee39b7d84ada4c26859bbb51b391386f,1
