VideoID: 
Thread ID, Timestamp, API Endpoint (Subscription ID), Success?
4,2017-11-05 13:21:19:193,d1b30e5430a048b1bc3e84c984a2e51e,1
2,2017-11-05 13:21:19:193,d1b30e5430a048b1bc3e84c984a2e51e,1
1,2017-11-05 13:21:19:193,d1b30e5430a048b1bc3e84c984a2e51e,1
3,2017-11-05 13:21:19:193,d1b30e5430a048b1bc3e84c984a2e51e,0
0,2017-11-05 13:21:19:193,d1b30e5430a048b1bc3e84c984a2e51e,1
5,2017-11-05 13:21:19:194,d1b30e5430a048b1bc3e84c984a2e51e,1
3,2017-11-05 13:21:21:250,d1b30e5430a048b1bc3e84c984a2e51e,1
