VideoID: 
Thread ID, Timestamp, API Endpoint (Subscription ID), Success?
0,2017-11-05 13:21:19:195,ee39b7d84ada4c26859bbb51b391386f,1
3,2017-11-05 13:21:19:195,ee39b7d84ada4c26859bbb51b391386f,1
4,2017-11-05 13:21:19:195,ee39b7d84ada4c26859bbb51b391386f,1
1,2017-11-05 13:21:19:195,ee39b7d84ada4c26859bbb51b391386f,0
5,2017-11-05 13:21:19:196,ee39b7d84ada4c26859bbb51b391386f,1
2,2017-11-05 13:21:19:195,ee39b7d84ada4c26859bbb51b391386f,1
1,2017-11-05 13:21:21:338,ee39b7d84ada4c26859bbb51b391386f,1
