VideoID: 
Thread ID, Timestamp, API Endpoint (Subscription ID), Success?
0,2017-11-05 13:55:00:661,c2efe8fdff2244e6afeee461e28a6aa2,0
2,2017-11-05 13:55:00:661,c2efe8fdff2244e6afeee461e28a6aa2,0
5,2017-11-05 13:55:00:662,c2efe8fdff2244e6afeee461e28a6aa2,1
0,2017-11-05 13:55:01:799,c2efe8fdff2244e6afeee461e28a6aa2,0
2,2017-11-05 13:55:01:799,c2efe8fdff2244e6afeee461e28a6aa2,0
5,2017-11-05 13:55:02:991,c2efe8fdff2244e6afeee461e28a6aa2,1
3,2017-11-05 13:55:00:661,c2efe8fdff2244e6afeee461e28a6aa2,0
3,2017-11-05 13:55:01:797,c2efe8fdff2244e6afeee461e28a6aa2,0
0,2017-11-05 13:55:03:228,c2efe8fdff2244e6afeee461e28a6aa2,1
1,2017-11-05 13:55:00:661,c2efe8fdff2244e6afeee461e28a6aa2,0
2,2017-11-05 13:55:03:137,c2efe8fdff2244e6afeee461e28a6aa2,1
4,2017-11-05 13:55:00:661,c2efe8fdff2244e6afeee461e28a6aa2,0
4,2017-11-05 13:55:01:794,c2efe8fdff2244e6afeee461e28a6aa2,0
3,2017-11-05 13:55:03:217,c2efe8fdff2244e6afeee461e28a6aa2,1
1,2017-11-05 13:55:01:794,c2efe8fdff2244e6afeee461e28a6aa2,0
4,2017-11-05 13:55:03:225,c2efe8fdff2244e6afeee461e28a6aa2,1
