VideoID: 
Thread ID, Timestamp, API Endpoint (Subscription ID), Success?
3,2017-11-05 13:51:31:689,3a40a65192204751b51095bdfa18accc,1
5,2017-11-05 13:51:31:689,3a40a65192204751b51095bdfa18accc,1
4,2017-11-05 13:51:31:689,3a40a65192204751b51095bdfa18accc,1
2,2017-11-05 13:51:31:688,3a40a65192204751b51095bdfa18accc,0
2,2017-11-05 13:51:32:824,3a40a65192204751b51095bdfa18accc,0
2,2017-11-05 13:51:34:233,3a40a65192204751b51095bdfa18accc,1
3,2017-11-05 13:51:34:8,3a40a65192204751b51095bdfa18accc,0
0,2017-11-05 13:51:31:688,3a40a65192204751b51095bdfa18accc,0
0,2017-11-05 13:51:32:824,3a40a65192204751b51095bdfa18accc,1
5,2017-11-05 13:51:33:894,3a40a65192204751b51095bdfa18accc,0
1,2017-11-05 13:51:31:688,3a40a65192204751b51095bdfa18accc,0
2,2017-11-05 13:51:36:345,3a40a65192204751b51095bdfa18accc,1
0,2017-11-05 13:51:35:199,3a40a65192204751b51095bdfa18accc,0
1,2017-11-05 13:51:32:824,3a40a65192204751b51095bdfa18accc,0
