VideoID: 
Thread ID, Timestamp, API Endpoint (Subscription ID), Success?
0,2017-11-05 13:21:19:193,3a40a65192204751b51095bdfa18accc,0
3,2017-11-05 13:21:19:194,3a40a65192204751b51095bdfa18accc,1
0,2017-11-05 13:21:21:338,3a40a65192204751b51095bdfa18accc,0
5,2017-11-05 13:21:19:194,3a40a65192204751b51095bdfa18accc,1
1,2017-11-05 13:21:19:194,3a40a65192204751b51095bdfa18accc,0
3,2017-11-05 13:21:21:953,3a40a65192204751b51095bdfa18accc,0
2,2017-11-05 13:21:19:194,3a40a65192204751b51095bdfa18accc,0
0,2017-11-05 13:21:22:745,3a40a65192204751b51095bdfa18accc,1
4,2017-11-05 13:21:19:194,3a40a65192204751b51095bdfa18accc,0
1,2017-11-05 13:21:21:250,3a40a65192204751b51095bdfa18accc,1
2,2017-11-05 13:21:21:250,3a40a65192204751b51095bdfa18accc,1
4,2017-11-05 13:21:21:244,3a40a65192204751b51095bdfa18accc,1
