VideoID: 
Thread ID, Timestamp, API Endpoint (Subscription ID), Success?
4,2017-11-05 13:55:00:686,a4b2f96e978b4416a50ac39ac54a6f18,1
3,2017-11-05 13:55:00:686,a4b2f96e978b4416a50ac39ac54a6f18,1
0,2017-11-05 13:55:00:685,a4b2f96e978b4416a50ac39ac54a6f18,0
5,2017-11-05 13:55:00:686,a4b2f96e978b4416a50ac39ac54a6f18,1
1,2017-11-05 13:55:00:686,a4b2f96e978b4416a50ac39ac54a6f18,0
2,2017-11-05 13:55:00:686,a4b2f96e978b4416a50ac39ac54a6f18,1
0,2017-11-05 13:55:01:819,a4b2f96e978b4416a50ac39ac54a6f18,1
1,2017-11-05 13:55:01:815,a4b2f96e978b4416a50ac39ac54a6f18,1
