VideoID: 
Thread ID, Timestamp, API Endpoint (Subscription ID), Success?
5,2017-11-05 13:46:52:502,3a40a65192204751b51095bdfa18accc,0
0,2017-11-05 13:46:52:501,3a40a65192204751b51095bdfa18accc,1
3,2017-11-05 13:46:52:502,3a40a65192204751b51095bdfa18accc,0
5,2017-11-05 13:46:54:387,3a40a65192204751b51095bdfa18accc,0
0,2017-11-05 13:46:55:411,3a40a65192204751b51095bdfa18accc,1
1,2017-11-05 13:46:52:502,3a40a65192204751b51095bdfa18accc,0
3,2017-11-05 13:46:54:874,3a40a65192204751b51095bdfa18accc,0
4,2017-11-05 13:46:52:502,3a40a65192204751b51095bdfa18accc,0
5,2017-11-05 13:46:55:727,3a40a65192204751b51095bdfa18accc,1
2,2017-11-05 13:46:52:502,3a40a65192204751b51095bdfa18accc,0
1,2017-11-05 13:46:54:307,3a40a65192204751b51095bdfa18accc,1
4,2017-11-05 13:46:54:299,3a40a65192204751b51095bdfa18accc,1
2,2017-11-05 13:46:54:298,3a40a65192204751b51095bdfa18accc,1
