VideoID: 
Thread ID, Timestamp, API Endpoint (Subscription ID), Success?
1,2017-11-05 13:46:52:493,d1b30e5430a048b1bc3e84c984a2e51e,1
2,2017-11-05 13:46:52:493,d1b30e5430a048b1bc3e84c984a2e51e,0
4,2017-11-05 13:46:52:493,d1b30e5430a048b1bc3e84c984a2e51e,1
5,2017-11-05 13:46:52:493,d1b30e5430a048b1bc3e84c984a2e51e,0
0,2017-11-05 13:46:52:492,d1b30e5430a048b1bc3e84c984a2e51e,1
3,2017-11-05 13:46:52:493,d1b30e5430a048b1bc3e84c984a2e51e,0
2,2017-11-05 13:46:54:345,d1b30e5430a048b1bc3e84c984a2e51e,1
5,2017-11-05 13:46:54:307,d1b30e5430a048b1bc3e84c984a2e51e,1
3,2017-11-05 13:46:54:298,d1b30e5430a048b1bc3e84c984a2e51e,1
