VideoID: 
Thread ID, Timestamp, API Endpoint (Subscription ID), Success?
0,2017-11-05 13:16:48:249,39824523dc9545758d1d74013d5916fa,1
3,2017-11-05 13:16:48:250,39824523dc9545758d1d74013d5916fa,0
5,2017-11-05 13:16:48:250,39824523dc9545758d1d74013d5916fa,1
1,2017-11-05 13:16:48:249,39824523dc9545758d1d74013d5916fa,0
4,2017-11-05 13:16:48:250,39824523dc9545758d1d74013d5916fa,1
2,2017-11-05 13:16:48:249,39824523dc9545758d1d74013d5916fa,0
3,2017-11-05 13:16:49:969,39824523dc9545758d1d74013d5916fa,1
1,2017-11-05 13:16:49:894,39824523dc9545758d1d74013d5916fa,1
2,2017-11-05 13:16:49:894,39824523dc9545758d1d74013d5916fa,1
