VideoID: 
Thread ID, Timestamp, API Endpoint (Subscription ID), Success?
4,2017-11-05 13:24:01:899,d1b30e5430a048b1bc3e84c984a2e51e,0
4,2017-11-05 13:24:03:166,d1b30e5430a048b1bc3e84c984a2e51e,0
3,2017-11-05 13:24:01:899,d1b30e5430a048b1bc3e84c984a2e51e,0
5,2017-11-05 13:24:01:899,d1b30e5430a048b1bc3e84c984a2e51e,1
4,2017-11-05 13:24:04:684,d1b30e5430a048b1bc3e84c984a2e51e,0
3,2017-11-05 13:24:03:160,d1b30e5430a048b1bc3e84c984a2e51e,0
5,2017-11-05 13:24:04:532,d1b30e5430a048b1bc3e84c984a2e51e,1
2,2017-11-05 13:24:01:898,d1b30e5430a048b1bc3e84c984a2e51e,0
2,2017-11-05 13:24:03:160,d1b30e5430a048b1bc3e84c984a2e51e,0
2,2017-11-05 13:24:04:693,d1b30e5430a048b1bc3e84c984a2e51e,0
4,2017-11-05 13:24:06:111,d1b30e5430a048b1bc3e84c984a2e51e,1
1,2017-11-05 13:24:01:898,d1b30e5430a048b1bc3e84c984a2e51e,0
1,2017-11-05 13:24:03:160,d1b30e5430a048b1bc3e84c984a2e51e,0
1,2017-11-05 13:24:04:687,d1b30e5430a048b1bc3e84c984a2e51e,0
3,2017-11-05 13:24:04:590,d1b30e5430a048b1bc3e84c984a2e51e,1
0,2017-11-05 13:24:01:898,d1b30e5430a048b1bc3e84c984a2e51e,0
2,2017-11-05 13:24:06:284,d1b30e5430a048b1bc3e84c984a2e51e,1
1,2017-11-05 13:24:06:111,d1b30e5430a048b1bc3e84c984a2e51e,1
0,2017-11-05 13:24:03:160,d1b30e5430a048b1bc3e84c984a2e51e,0
