VideoID: 
Thread ID, Timestamp, API Endpoint (Subscription ID), Success?
0,2017-11-05 13:46:52:490,ee39b7d84ada4c26859bbb51b391386f,0
0,2017-11-05 13:46:54:874,ee39b7d84ada4c26859bbb51b391386f,0
3,2017-11-05 13:46:52:490,ee39b7d84ada4c26859bbb51b391386f,0
2,2017-11-05 13:46:52:490,ee39b7d84ada4c26859bbb51b391386f,1
1,2017-11-05 13:46:52:490,ee39b7d84ada4c26859bbb51b391386f,0
0,2017-11-05 13:46:56:217,ee39b7d84ada4c26859bbb51b391386f,1
5,2017-11-05 13:46:52:490,ee39b7d84ada4c26859bbb51b391386f,0
3,2017-11-05 13:46:54:345,ee39b7d84ada4c26859bbb51b391386f,1
4,2017-11-05 13:46:52:490,ee39b7d84ada4c26859bbb51b391386f,0
1,2017-11-05 13:46:54:307,ee39b7d84ada4c26859bbb51b391386f,1
5,2017-11-05 13:46:54:297,ee39b7d84ada4c26859bbb51b391386f,1
4,2017-11-05 13:46:54:289,ee39b7d84ada4c26859bbb51b391386f,1
