VideoID: 
Thread ID, Timestamp, API Endpoint (Subscription ID), Success?
5,2017-11-05 13:24:01:894,c2efe8fdff2244e6afeee461e28a6aa2,1
0,2017-11-05 13:24:01:893,c2efe8fdff2244e6afeee461e28a6aa2,0
4,2017-11-05 13:24:01:894,c2efe8fdff2244e6afeee461e28a6aa2,1
5,2017-11-05 13:24:04:303,c2efe8fdff2244e6afeee461e28a6aa2,0
0,2017-11-05 13:24:03:155,c2efe8fdff2244e6afeee461e28a6aa2,0
4,2017-11-05 13:24:04:589,c2efe8fdff2244e6afeee461e28a6aa2,1
3,2017-11-05 13:24:01:894,c2efe8fdff2244e6afeee461e28a6aa2,0
3,2017-11-05 13:24:03:155,c2efe8fdff2244e6afeee461e28a6aa2,0
5,2017-11-05 13:24:05:597,c2efe8fdff2244e6afeee461e28a6aa2,1
2,2017-11-05 13:24:01:893,c2efe8fdff2244e6afeee461e28a6aa2,0
0,2017-11-05 13:24:04:566,c2efe8fdff2244e6afeee461e28a6aa2,1
1,2017-11-05 13:24:01:893,c2efe8fdff2244e6afeee461e28a6aa2,0
1,2017-11-05 13:24:03:155,c2efe8fdff2244e6afeee461e28a6aa2,0
3,2017-11-05 13:24:04:564,c2efe8fdff2244e6afeee461e28a6aa2,1
2,2017-11-05 13:24:03:155,c2efe8fdff2244e6afeee461e28a6aa2,0
1,2017-11-05 13:24:04:692,c2efe8fdff2244e6afeee461e28a6aa2,0
