VideoID: 
Thread ID, Timestamp, API Endpoint (Subscription ID), Success?
0,2017-11-05 13:21:45:889,3a40a65192204751b51095bdfa18accc,1
1,2017-11-05 13:21:45:889,3a40a65192204751b51095bdfa18accc,0
3,2017-11-05 13:21:45:889,3a40a65192204751b51095bdfa18accc,1
4,2017-11-05 13:21:45:889,3a40a65192204751b51095bdfa18accc,0
5,2017-11-05 13:21:45:889,3a40a65192204751b51095bdfa18accc,1
2,2017-11-05 13:21:45:889,3a40a65192204751b51095bdfa18accc,0
1,2017-11-05 13:21:47:416,3a40a65192204751b51095bdfa18accc,1
4,2017-11-05 13:21:47:416,3a40a65192204751b51095bdfa18accc,1
2,2017-11-05 13:21:47:416,3a40a65192204751b51095bdfa18accc,1
